Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/07/29 08:00,"72F, ice-cold and barely breathing before an emergent laparotomy. Thyroid or induce?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #myxedemacoma",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-29-am.mp4,,,MACPrep reel: Myxedema coma: anesthetic implications,,,reel,,
2026/07/29 16:00,"Winter's formula does not confirm compensation. It exposes a second acid-base problem hiding in plain sight.

Save this for your next ABG.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #acidbase",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-29-pm.mp4,,,MACPrep reel: Winter's formula and appropriate respiratory compe,,,reel,,
2026/07/30 08:00,"HR 95 to 38 the second the surgeon pulls the eye muscle. What do you do first?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #strabismus",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-30-am.mp4,,,MACPrep reel: Oculocardiac reflex during pediatric strabismus su,,,reel,,
2026/07/30 16:00,"A hypoxic patient with a normal A-a gradient. Do you know what that actually tells you?

Save this for your next blood gas.

A normal A-a gradient with hypoxemia points to hypoventilation or a low inspired O2, not the lungs themselves. A widened gradient means the gas-exchange interface is failing: V/Q mismatch, shunt, or diffusion limitation. Giving 100 percent O2 corrects V/Q mismatch but not a true shunt.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #bloodgas",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-30-pm.mp4,,,MACPrep reel: The alveolar-arterial (A-a) oxygen gradient: norma,,,reel,,
2026/07/31 08:00,"ECT triggers a brief vagal dip then a sympathetic storm. In a patient with CAD, that surge is where hearts get into trouble.

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #ECT",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-31-am.mp4,,,MACPrep reel: ECT hemodynamics: blunting the parasympathetic the,,,reel,,
2026/07/31 16:00,"A ""stable 85%"" that ignores 100% oxygen is not a lung problem, it is your pulse ox lying.

Standard 2-wavelength pulse oximetry cannot see dyshemoglobins. Methemoglobin drags SpO2 toward a fixed ~85% regardless of true saturation, while carboxyhemoglobin absorbs like oxyhemoglobin and reads falsely normal, masking real hypoxia. Motion and low perfusion just make the signal unreliable, and dark nail polish (blue, black, green) can read falsely low. When SpO2 and measured SaO2 disagree, that saturation gap is your cue to send a co-oximetry sample.

Save this for your next unexplained desat.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #pulseoximetry",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-31-pm.mp4,,,"MACPrep reel: Pulse oximetry error sources: dyshemoglobins, moti",,,reel,,
2026/08/01 08:00,"Dialysis patient, full stomach, and you reach for succinylcholine. Reckless or textbook?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #succinylcholine",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-01-am.mp4,,,"MACPrep reel: Dialysis-dependent CKD: succinylcholine, potassium",,,reel,,
2026/08/01 16:00,"Same ETCO2, two totally different problems, and the waveform gives it away.

Save this for your next OR case.

Save this, tag a study buddy.

Shark-fin = slurred, upsloping expiratory limb with a lost alpha angle = obstruction (bronchospasm, COPD). A baseline that rises and never returns to zero = rebreathing (exhausted CO2 absorbent, incompetent expiratory valve, low fresh gas flow). One you treat at the airway, the other you fix in the circuit.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #capnography",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-01-pm.mp4,,,MACPrep reel: Capnogram shape: shark-fin vs rising baseline,,,reel,,
2026/08/02 08:00,"An eclamptic seizure hits mid-cesarean. Do you reach for the benzo or the real answer?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #eclampsia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-02-am.mp4,,,MACPrep reel: Intraoperative eclamptic seizure: magnesium sulfat,,,reel,,
2026/08/02 16:00,"TOF reads zero, but the block still has a depth. Here is how to measure it.

Save this before your next deep-block case.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #neuromuscularblockade",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-02-pm.mp4,,,MACPrep reel: Post-tetanic count and double-burst stimulation in,,,reel,,
2026/08/03 08:00,"Her platelets were 95k. Four hours ago. Do you place the spinal?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #obstetricanesthesia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-03-am.mp4,,,MACPrep reel: HELLP syndrome and neuraxial anesthesia,,,reel,,
2026/08/03 16:00,"Most patients on chronic steroids do NOT need 100 of hydrocortisone before surgery.

Save this before your next pre-op call.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #steroids",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-03-pm.mp4,,,MACPrep reel: Perioperative stress-dose steroids: who actually n,,,reel,,
2026/08/04 08:00,"Placenta percreta, 3 L lost in 20 minutes, and no labs back. What do you hang first?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #obstetricanesthesia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-04-am.mp4,,,MACPrep reel: Placenta accreta massive hemorrhage: fixed-ratio t,,,reel,,
2026/08/04 16:00,"They held his beta-blocker the morning of surgery, and the rebound tachycardia nearly cost him.

Save this before your next preop: chronic beta-blockers should be continued through surgery, including the morning dose. Abrupt withdrawal upregulates receptors and drives rebound tachycardia, hypertension, and myocardial ischemia within 24 to 48 hours. Continuing is safe. Starting fresh high-dose day-of is not (POISE).

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #betablockers",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-04-pm.mp4,,,MACPrep reel: Perioperative beta-blocker continuation: rebound r,,,reel,,
