Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/08/05 08:00,"GBS airway emergency: the obvious RSI paralytic is the wrong one. Comment your answer before the reveal.

Denervation and immobility upregulate extrajunctional acetylcholine receptors, so succinylcholine can dump potassium and stop the heart. Layer on the autonomic instability (wild swings in heart rate and blood pressure) and this is a high-stakes induction. Rocuronium 1.2 mg/kg buys RSI-speed onset without the depolarizing risk.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #GuillainBarre",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-05-am.mp4,,,MACPrep reel: Guillain-Barre syndrome: autonomic instability and,,,reel,,
2026/08/05 16:00,"Why does lidocaine kick in faster than bupivacaine? It comes down to pKa, not potency.

Save this before your next boards block.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #localanesthetics",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-05-pm.mp4,,,MACPrep reel: Local anesthetic pKa and onset speed,,,reel,,
2026/08/06 08:00,"Pacemaker-dependent with an ICD, and the surgeon is reaching for monopolar cautery. Is a magnet enough?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #CIED",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-06-am.mp4,,,MACPrep reel: Pacemaker-dependent ICD + intraop electrocautery: ,,,reel,,
2026/08/06 16:00,"Right block, wrong territory, failed anesthetic. Here is how to match them.

Save this before your next block day.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #regionalanesthesia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-06-pm.mp4,,,MACPrep reel: Regional block selection by surgical site,,,reel,,
2026/08/07 08:00,"Refractory VF in a Brugada patient. Your reflex reaches for amiodarone. That is the trap.

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #Brugada",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-07-am.mp4,,,MACPrep reel: Brugada syndrome perioperative management,,,reel,,
2026/08/07 16:00,"More propofol does not equal more brain protection. Here is the endpoint most people push right past.

Save this before your next temporary clip or carotid case.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #neuroanesthesia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-07-pm.mp4,,,MACPrep reel: Burst suppression and cerebral protection: agents ,,,reel,,
2026/08/08 08:00,"Crash diet, brutal belly pain, dark urine, and low sodium. The trap is the induction agent you reach for on autopilot.
Comment your answer before the reveal.
Save this, tag a study buddy.
1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).
For educational purposes only, not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #porphyria",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-08-am.mp4,,,MACPrep reel: Acute intermittent porphyria: safe anesthetic plan,,,reel,,
2026/08/08 16:00,"You gave 8 units fast and the heart went floppy. The citrate did it.

Save this before your next trauma call.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #transfusion",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-08-pm.mp4,,,MACPrep reel: Massive transfusion 1:1:1 and its predictable comp,,,reel,,
2026/08/09 08:00,"Long-bone fracture, then hypoxia, petechiae, and confusion 36 hours later. Do you know the one move that actually helps?
Comment your answer before the reveal.
Save this, tag a study buddy.
1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).
For educational purposes only, not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #fatembolism",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-09-am.mp4,,,MACPrep reel: Fat embolism syndrome after long-bone fracture: re,,,reel,,
2026/08/09 16:00,"The diabetic patient who feels no chest pain can be your riskiest airway and your riskiest heart.

Save this before your next diabetic case.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #diabetes",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-08-09-pm.mp4,,,MACPrep reel: Diabetic autonomic neuropathy: gastroparesis and s,,,reel,,
